Location,Price,Area,BHK,City,Bathroom,Price_per_Sqft
7th Phase JP Nagar,7200000.0,1080.0,2,Bangalore,2.0,6666.666666666667
7th Phase JP Nagar,9300000.0,1270.0,2,Bangalore,2.0,7322.834645669292
7th Phase JP Nagar,10000000.0,1420.0,3,Bangalore,2.0,7042.2535211267605
7th Phase JP Nagar,15000000.0,1850.0,3,Bangalore,3.0,8108.108108108108
7th Phase JP Nagar,9400000.0,1245.0,2,Bangalore,2.0,7550.2008032128515
7th Phase JP Nagar,8200000.0,1175.0,2,Bangalore,2.0,6978.723404255319
7th Phase JP Nagar,9500000.0,1400.0,3,Bangalore,2.0,6785.714285714285
7th Phase JP Nagar,16000000.0,2225.0,3,Bangalore,3.0,7191.011235955056
7th Phase JP Nagar,7100000.0,1050.0,2,Bangalore,2.0,6761.9047619047615
7th Phase JP Nagar,4600000.0,1100.0,2,Bangalore,2.0,4181.818181818182
7th Phase JP Nagar,5049000.0,918.0,2,Bangalore,2.0,5500.0
7th Phase JP Nagar,10000000.0,1450.0,3,Bangalore,2.0,6896.551724137931
7th Phase JP Nagar,4279000.0,1070.0,2,Bangalore,2.0,3999.0654205607475
7th Phase JP Nagar,4998000.0,1190.0,2,Bangalore,2.0,4200.0
7th Phase JP Nagar,9600000.0,1420.0,3,Bangalore,2.0,6760.56338028169
7th Phase JP Nagar,12000000.0,1680.0,3,Bangalore,3.0,7142.857142857143
7th Phase JP Nagar,4200000.0,1050.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,6900000.0,980.0,2,Bangalore,2.0,7040.816326530612
7th Phase JP Nagar,4139000.0,1035.0,2,Bangalore,2.0,3999.0338164251207
7th Phase JP Nagar,5617000.0,1370.0,2,Bangalore,2.0,4100.0
7th Phase JP Nagar,7200000.0,1180.0,2,Bangalore,2.0,6101.6949152542375
7th Phase JP Nagar,45000000.0,5080.0,6,Bangalore,7.0,8858.267716535433
7th Phase JP Nagar,5200000.0,1300.0,3,Bangalore,2.0,4000.0
7th Phase JP Nagar,5700000.0,1050.0,3,Bangalore,2.0,5428.571428571428
7th Phase JP Nagar,5641000.0,1343.0,3,Bangalore,2.0,4200.297840655249
7th Phase JP Nagar,5901000.0,1405.0,3,Bangalore,2.0,4200.0
7th Phase JP Nagar,11500000.0,1400.0,3,Bangalore,3.0,8214.285714285714
7th Phase JP Nagar,4299000.0,1075.0,2,Bangalore,2.0,3999.0697674418607
7th Phase JP Nagar,4400000.0,1100.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,8300000.0,1270.0,2,Bangalore,2.0,6535.433070866142
7th Phase JP Nagar,15000000.0,3300.0,4,Bangalore,4.0,4545.454545454545
7th Phase JP Nagar,18800000.0,2503.0,4,Bangalore,4.0,7510.986815821015
7th Phase JP Nagar,19000000.0,2200.0,3,Bangalore,3.0,8636.363636363636
7th Phase JP Nagar,6500000.0,1250.0,3,Bangalore,3.0,5200.0
7th Phase JP Nagar,4200000.0,1050.0,2,Bangalore,2.0,4000.0
7th Phase JP Nagar,5817000.0,1385.0,3,Bangalore,2.0,4200.0
7th Phase JP Nagar,11000000.0,1575.0,3,Bangalore,2.0,6984.126984126984
7th Phase JP Nagar,14000000.0,1850.0,3,Bangalore,3.0,7567.5675675675675
7th Phase JP Nagar,5479000.0,1370.0,3,Bangalore,2.0,3999.2700729927005
7th Phase JP Nagar,5479000.0,1370.0,3,Bangalore,2.0,3999.2700729927005
7th Phase JP Nagar,5200000.0,1300.0,3,Bangalore,2.0,4000.0
7th Phase JP Nagar,12000000.0,1575.0,3,Bangalore,2.0,7619.047619047619
7th Phase JP Nagar,15000000.0,1850.0,3,Bangalore,3.0,8108.108108108108
7th Phase JP Nagar,12000000.0,1680.0,3,Bangalore,3.0,7142.857142857143
7th Phase JP Nagar,8250000.0,1175.0,2,Bangalore,2.0,7021.276595744681
7th Phase JP Nagar,16000000.0,3300.0,3,Bangalore,4.0,4848.484848484848
7th Phase JP Nagar,10500000.0,2200.0,3,Bangalore,4.0,4772.727272727273
7th Phase JP Nagar,9000000.0,1215.0,2,Bangalore,2.0,7407.407407407408
7th Phase JP Nagar,7500000.0,1050.0,2,Bangalore,2.0,7142.857142857143
7th Phase JP Nagar,8913000.0,1300.0,3,Bangalore,3.0,6856.153846153846
7th Phase JP Nagar,7300000.0,1130.0,2,Bangalore,2.0,6460.1769911504425
7th Phase JP Nagar,10000000.0,1450.0,3,Bangalore,3.0,6896.551724137931
7th Phase JP Nagar,5800000.0,1350.0,3,Bangalore,3.0,4296.2962962962965
7th Phase JP Nagar,5000000.0,1050.0,2,Bangalore,2.0,4761.9047619047615
7th Phase JP Nagar,8700000.0,1275.0,2,Bangalore,2.0,6823.529411764706
7th Phase JP Nagar,7000000.0,1460.0,3,Bangalore,3.0,4794.520547945205
7th Phase JP Nagar,11000000.0,1650.0,3,Bangalore,3.0,6666.666666666667
7th Phase JP Nagar,4200000.0,850.0,2,Bangalore,2.0,4941.176470588235
7th Phase JP Nagar,11700000.0,1680.0,3,Bangalore,3.0,6964.285714285715
7th Phase JP Nagar,15000000.0,1850.0,3,Bangalore,3.0,8108.108108108108
